Dane;symbol_ty;symbol;nazwa
BI Bia³ystok;3;BI;Bia³ystok
BS Suwa³ki;3;BS;Suwa³ki
BL £om¿a;3;BL;£om¿a
BAU powiat augustowski;4;BAU;powiat augustowski
BIA powiat bia³ostocki;4;BIA;powiat bia³ostocki
BBI powiat bielski;4;BBI;powiat bielski
BGR powiat grajewski;4;BGR;powiat grajewski
BHA powiat hajnowski;4;BHA;powiat hajnowski
BKL powiat kolneñski;4;BKL;powiat kolneñski
BMN powiat moniecki;4;BMN;powiat moniecki
BSE powiat sejneñski;4;BSE;powiat sejneñski
BSI powiat siemiatycki;4;BSI;powiat siemiatycki
BSK powiat sokólski;4;BSK;powiat sokólski
BSU powiat suwalski;4;BSU;powiat suwalski
BWM powiat wysokomazowiecki;4;BWM;powiat wysokomazowiecki
BZA powiat zambrowski;4;BZA;powiat zambrowski
BLM powiat ³om¿yñski;4;BLM;powiat ³om¿yñski
CB Bydgoszcz;3;CB;Bydgoszcz
CG Grudzi¹dz;3;CG;Grudzi¹dz
CT Toruñ;3;CT;Toruñ
CW W³oc³awek;3;CW;W³oc³awek
CAL powiat aleksandrowski;4;CAL;powiat aleksandrowski
CBR powiat brodnicki;4;CBR;powiat brodnicki
CBY powiat bydgoski;4;CBY;powiat bydgoski
CCH powiat che³miñski;4;CCH;powiat che³miñski
CGD powiat golubsko-dobrzyñski;4;CGD;powiat golubsko-dobrzyñski
CGR powiat grudzi¹dzki;4;CGR;powiat grudzi¹dzki
CIN powiat inowroc³awski;4;CIN;powiat inowroc³awski
CLI powiat lipnowski;4;CLI;powiat lipnowski
CMG powiat mogileñski;4;CMG;powiat mogileñski
CNA powiat nakielski;4;CNA;powiat nakielski
CRA powiat radziejowski;4;CRA;powiat radziejowski
CRY powiat rypiñski;4;CRY;powiat rypiñski
CSE powiat sêpoleñski;4;CSE;powiat sêpoleñski
CSW powiat œwiecki;4;CSW;powiat œwiecki
CTR powiat toruñski;4;CTR;powiat toruñski
CTU powiat tucholski;4;CTU;powiat tucholski
CWA powiat w¹brzeski;4;CWA;powiat w¹brzeski
CWL powiat w³oc³awski;4;CWL;powiat w³oc³awski
CZN powiat ¿niñski;4;CZN;powiat ¿niñski
DJ Jelenia Góra;3;DJ;Jelenia Góra
DL Legnica;3;DL;Legnica
