"";"year";"011212001000";"011212006000";"011212008000";"011212009000";"011212014000";"011212019000";"011212161000";"011212205000";"011212207000";"011212210000";"011212262000";"011212303000";"011212312000";"011212313000";"011212318000";"011212402000";"011212404000";"011212416000";"011212463000";"011216911000";"011216915000";"011216917000";"012414402000";"012414403000";"012414417000";"012414461000";"012414507000";"012414513000";"012414562000";"012414571000";"012414604000";"012414606000";"012414609000";"012414664000";"012414705000";"012414766000";"012414778000";"012414863000";"012414869000";"012414870000";"012414872000";"012414874000";"012414876000";"012414911000";"012414912000";"012414915000";"012414967000";"012414973000";"012414979000";"012415001000";"012415016000";"012415065000";"012415068000";"012415075000";"012415108000";"012415110000";"012415114000";"012415177000";"020811301000";"020811303000";"020811305000";"020811306000";"020811307000";"020811361000";"020811402000";"020811404000";"020811408000";"020811409000";"020811410000";"020811411000";"020811412000";"020811462000";"023015706000";"023015707000";"023015708000";"023015712000";"023015717000";"023015718000";"023015720000";"023015761000";"023015803000";"023015809000";"023015810000";"023015823000";"023015827000";"023015830000";"023015862000";"023015904000";"023015905000";"023015911000";"023015913000";"023015914000";"023015915000";"023015922000";"023015929000";"023015963000";"023016001000";"023016002000";"023016019000";"023016028000";"023016031000";"023016116000";"023016121000";"023016124000";"023016125000";"023016126000";"023016264000";"023216301000";"023216308000";"023216309000";"023216313000";"023216361000";"023216402000";"023216403000";"023216410000";"023216412000";"023216415000";"023216416000";"023216417000";"023216418000";"023216562000";"023216604000";"023216605000";"023216606000";"023216607000";"023216611000";"023216614000";"023216663000";"030210101000";"030210105000";"030210106000";"030210107000";"030210110000";"030210112000";"030210125000";"030210126000";"030210161000";"030210203000";"030210204000";"030210209000";"030210211000";"030210216000";"030210262000";"030210302000";"030210308000";"030210319000";"030210321000";"030210324000";"030210365000";"030210413000";"030210414000";"030210415000";"030210417000";"030210418000";"030210420000";"030210422000";"030210423000";"030210564000";"031613101000";"031613102000";"031613106000";"031613107000";"031613110000";"031613203000";"031613204000";"031613205000";"031613208000";"031613209000";"031613211000";"031613261000";"040410603000";"040410615000";"040410661000";"040410663000";"040410702000";"040410704000";"040410705000";"040410706000";"040410712000";"040410717000";"040410762000";"040410801000";"040410808000";"040410811000";"040410818000";"040410864000";"040416707000";"040416709000";"040416710000";"040416719000";"040416813000";"040416814000";"040416816000";"042214004000";"042214005000";"042214010000";"042214011000";"042214015000";"042214101000";"042214108000";"042214112000";"042214163000";"042214207000";"042214209000";"042214213000";"042214214000";"042214216000";"042214361000";"042214362000";"042214364000";"042217202000";"042217203000";"042217206000";"042815402000";"042815403000";"042815404000";"042815407000";"042815412000";"042815415000";"042815461000";"042815505000";"042815506000";"042815513000";"042815516000";"042815518000";"042815519000";"042815601000";"042815608000";"042815609000";"042815610000";"042815611000";"042815614000";"042815617000";"042815662000";"051011506000";"051011508000";"051011520000";"051011521000";"051011661000";"051011701000";"051011707000";"051011710000";"051011712000";"051011716000";"051011762000";"051011803000";"051011809000";"051011811000";"051011814000";"051011817000";"051011818000";"051011819000";"051011902000";"051011904000";"051011905000";"051011913000";"051011915000";"051011963000";"052615204000";"052615205000";"052615207000";"052615210000";"052615211000";"052615261000";"052615301000";"052615302000";"052615303000";"052615306000";"052615308000";"052615309000";"052615312000";"052615313000";"060610901000";"060610913000";"060610915000";"060610919000";"060610961000";"060611002000";"060611003000";"060611004000";"060611006000";"060611018000";"060611020000";"060611062000";"060611064000";"060611108000";"060611109000";"060611110000";"060611117000";"060611163000";"060611205000";"060611207000";"060611211000";"060611212000";"060611214000";"060611216000";"061813301000";"061813302000";"061813305000";"061813307000";"061813317000";"061813321000";"061813361000";"061813404000";"061813409000";"061813413000";"061813414000";"061813462000";"061813506000";"061813510000";"061813515000";"061813516000";"061813519000";"061813563000";"061813603000";"061813608000";"061813611000";"061813612000";"061813618000";"061813620000";"061813664000";"062013702000";"062013711000";"062013761000";"062013803000";"062013805000";"062013806000";"062013807000";"062013810000";"062013813000";"062013814000";"062013862000";"062013901000";"062013904000";"062013908000";"062013909000";"062013912000";"062013963000";"071412865000";"071412908000";"071412912000";"071412917000";"071412934000";"071413005000";"071413014000";"071413018000";"071413021000";"071413032000";"071422502000";"071422513000";"071422520000";"071422524000";"071422537000";"071422611000";"071422615000";"071422616000";"071422622000";"071422635000";"071422661000";"071422701000";"071422707000";"071422709000";"071422723000";"071422725000";"071422730000";"071422736000";"071422763000";"071427004000";"071427019000";"071427027000";"071427062000";"071427103000";"071427110000";"071427126000";"071427129000";"071427133000";"071427164000";"071427306000";"071427328000";"071427338000"
"1";"2013";3407;4096;2665;3711;2358;3877;5759;2620;3083;3030;2838;2442;2538;2540;2869;3661;2496;NA;2881;3569;2217;6791;2463;3016;2632;2908;2328;2456;1817;2096;1701;2491;1760;2727;2454;2822;2388;2467;3134;2579;2039;2470;2212;1846;1649;1808;2288;2373;2334;2215;1772;2545;2719;2376;2544;2278;2492;3225;2039;2004;2200;1944;1957;2630;1815;1766;2172;2072;1554;1881;1808;3172;2647;1797;2140;1838;1906;2063;2389;2546;2581;2336;1492;2132;2144;2548;2731;2114;1744;1598;1196;2285;2186;2042;2059;2672;2405;1789;2383;2599;1857;2530;3535;2423;2481;2456;4829;1872;3922;2315;2728;3399;1926;1862;2086;2000;2091;1849;1837;1699;3703;2611;2378;2374;3266;3616;2810;4056;2441;2292;2667;1625;1816;1790;1621;2183;2426;2819;NA;1946;2694;2521;2396;1910;1888;2225;1607;1671;2027;2025;2806;2915;2129;2101;2880;2437;3531;4593;2234;1546;2219;1997;1611;2217;2091;2306;2308;2218;1824;3601;2932;2225;3327;3970;2360;2398;2082;1493;1798;1936;2232;2509;2001;1590;1511;2288;2587;1707;2426;2229;1636;2258;2066;3490;3016;3156;4570;3705;2518;2284;2861;2978;2104;2362;2380;2845;2025;4840;5090;7034;2527;2004;2669;2025;2041;1930;2611;1833;2567;2942;2485;2774;1854;2168;1868;2269;1778;1796;1944;2611;2201;2577;2349;3923;1835;2552;2683;2068;3321;2456;2619;1908;2338;2541;2757;2561;2426;2176;2290;2578;2276;2305;2540;2253;2728;2998;NA;3383;2426;2562;2065;2505;2285;3863;2619;NA;1851;1919;1984;2598;2400;2705;NA;2439;2669;2278;2595;2941;1830;2166;2211;2412;1742;2468;2847;2992;3413;3123;3711;4381;2110;2353;2951;2014;3554;2304;1799;2705;2513;1724;2586;2461;2635;2815;1872;2147;1988;2552;2390;2857;2638;2779;2143;3899;2920;2177;2754;2252;2600;2063;2436;2571;2374;4068;NA;NA;2161;1212;NA;2906;2304;3009;3001;2252;1767;2185;1525;2621;7294;4793;3703;4678;4138;3538;3353;5084;4463;4194;2419;2192;2650;2720;1963;NA;1341;2602;2357;3880;2683;2938;2955;NA;2163;1707;1896;2086;2646;2213;2133;2234;3452;3267;3535;2122;2570;2662;3376;NA;3053;2840
"2";"2014";3527;3870;3068;3528;3524;4047;5764;2183;2853;2716;2908;2655;2560;2502;2906;3277;1783;NA;2788;3735;2549;7542;2328;2791;2669;3017;2304;2374;1783;2219;1919;3011;1857;2762;2123;2828;2336;2677;3181;2451;2153;2302;2126;1891;2033;1871;2338;2291;2368;2212;1834;2513;2753;2396;2616;2252;2602;3263;2188;2029;2345;2018;2041;2659;1872;1774;2240;2250;1498;1955;1657;2996;2517;1556;2029;2000;1817;2195;1969;2643;2393;2206;2114;2134;2178;2793;2802;2117;1881;1958;1851;1973;2352;2177;2673;2846;2052;1666;2475;2594;1926;2907;3576;2271;2581;2561;4904;1700;3987;2786;2320;3251;1981;2076;2210;2219;2087;1878;2155;1684;3730;2751;2256;2291;3444;3784;2885;4335;2549;2000;2486;1464;1907;1559;1323;2050;2335;2903;1306;1968;2751;2642;2429;1705;1918;2189;1809;1778;1897;1856;2959;2891;2717;2752;2743;2051;3926;4640;2333;1570;2105;1902;1595;2090;1979;2259;2008;2327;2129;3808;2910;2129;3321;3929;2346;2494;2240;1650;1898;1865;2251;2593;1850;1699;1812;2367;2662;1725;2318;2105;1659;2090;2007;3607;3118;3303;4580;3682;2745;2386;2937;2908;2080;2426;2490;3006;2010;5004;5156;7567;2321;1924;2733;1922;2152;1955;2546;1693;2598;2944;2461;2654;2118;2023;1846;2337;1735;1798;1982;2861;1921;2261;2262;4074;1572;2466;2563;2377;3334;2445;2481;1778;2424;2565;2775;2248;2818;1867;2215;2701;2332;2403;2672;2284;2853;2711;NA;3302;2214;2390;2077;2092;2100;3940;2943;NA;1962;1957;2240;2688;2132;2387;NA;1984;2941;2151;2703;2725;1666;1970;2107;2539;1662;2493;2919;3152;3488;3200;3771;4427;2383;2279;2849;2509;3533;2213;1818;2352;1979;2098;2365;1966;2568;2818;1867;2348;1996;2623;NA;3229;2652;3273;2401;3982;2616;2058;2900;2021;2522;1951;2431;2534;2465;3968;NA;NA;1960;1453;2460;2529;2516;2824;3129;1923;1580;2018;1489;2743;7606;4684;3539;4810;4305;3679;3686;4789;4730;4036;2455;2404;2647;2648;2051;NA;NA;2201;2503;3974;2717;2896;2814;NA;2185;1737;1997;2173;2728;2391;2583;2227;3354;2265;2312;1919;2874;2339;3399;2741;2982;2920
"3";"2015";3284;4094;2867;4266;3393;4263;6004;2432;2929;2670;2904;2591;2593;2540;2884;2571;2778;NA;2876;4103;1678;6549;2628;2845;2723;3022;2399;2514;1767;2146;1860;2709;1831;2655;2345;2892;2323;2575;3275;2437;2093;2389;2338;1974;1935;1847;2194;2399;2419;2230;1760;2519;2842;2468;2346;2384;2231;3282;2245;2142;2468;2105;1952;2701;2007;1872;2140;2060;1864;1946;1729;3158;2686;1301;2810;2204;2121;2627;2648;2658;2587;2340;2064;2455;2175;2960;2948;2102;2458;2029;2324;2129;2472;2224;2571;2948;2289;1801;2580;2772;2042;2778;3606;2152;2639;2341;4921;1817;4193;2381;2234;3201;2139;2110;2221;2165;2240;1721;2234;1581;3798;2771;2267;2308;3842;3694;2923;4531;2558;2254;2493;1440;1826;1387;1301;2093;2250;2950;2150;1926;2931;2516;2497;1780;2040;2187;1542;1811;1838;2212;3044;2911;2266;3224;3022;2282;3716;4675;2325;1486;2461;2006;1537;2134;1936;2258;2253;2175;2069;3801;2721;2229;3442;3758;2196;2148;2006;1571;1742;2107;2383;2837;1841;1942;1285;2529;2623;1958;2263;2256;1712;2268;2107;3705;3366;3865;4734;3675;2648;2439;3056;2849;2101;2518;2651;3026;1764;5123;5190;7757;2462;1960;3079;2008;2274;2160;2725;2250;2538;2802;2457;2685;2528;1924;1813;2293;1797;1797;2061;2590;2108;2503;2408;4056;1740;2696;2672;2314;3340;2478;2693;1833;2433;2539;2588;2483;2584;2276;2244;2642;2618;2364;1686;2253;2609;2714;1700;3292;2283;2322;2011;2351;2104;3772;2580;2414;1790;1876;1983;2583;2460;2503;2293;2505;2538;2071;2967;2662;1971;2008;2268;2670;2187;2585;2754;3261;3636;2986;3721;4530;2457;2286;2952;2410;3539;2078;1781;2399;2085;1538;2635;2530;2795;2790;1898;2260;2244;2484;2412;2999;2884;3097;2067;4253;2594;2021;2894;2416;2664;1963;2417;2658;2630;4022;NA;1917;2336;NA;2286;1528;2721;3054;3618;2038;2354;2056;1467;2861;7674;4275;3618;4689;4135;4016;3449;5344;4673;3966;2846;2395;2656;2704;2452;NA;1029;2530;2583;3578;2908;2755;2922;NA;1947;1793;1844;2175;2864;2144;2274;2076;3355;1332;2881;1587;3087;2400;3656;2330;2978;2775
"4";"2016";3432;4015;3100;3704;2818;4023;6046;2392;3030;3173;3044;2589;2731;2579;2977;3155;2450;NA;2920;3831;2723;8429;2373;3066;2572;3106;2015;2456;1752;2173;1620;2705;1997;2847;2494;2939;2330;2508;3376;2892;2052;2444;2177;1771;1878;1921;2224;2539;2545;2309;1844;2568;2904;2410;2786;2213;2400;3373;2269;2079;2444;2295;2181;2856;2005;2078;2149;2212;1843;2038;2139;3388;2687;1591;3199;2235;2498;2750;2518;2624;2725;2409;2083;2908;2568;3072;2944;2252;2114;2079;2275;2170;2680;2369;2420;3067;2182;1798;2675;2879;1949;3064;3571;2705;2871;2688;5025;1887;4374;2744;3204;3307;2082;2041;2082;2172;2100;1895;2125;1590;3850;2775;2335;2300;3907;3859;3123;5048;2462;1984;2831;1518;2103;1547;2035;2063;2320;3061;2937;2302;3006;2562;2515;1882;1987;2357;1567;1957;1820;2209;3115;3178;2475;3288;3181;2380;3866;4846;2313;1379;2658;2045;1403;2123;2111;2376;2250;2245;2141;3830;2866;2505;3532;3995;2359;2177;2085;1693;1719;1757;2421;2768;2062;2097;1564;2553;2566;2000;2571;1995;1843;2478;2054;3783;3085;3882;4295;3930;2468;2532;3259;2992;2268;2401;2851;3155;1768;5500;5493;8586;2796;2043;2601;1912;2325;2066;2838;2068;2585;2979;2471;2629;2305;1937;1703;2410;1890;1783;2144;2994;1973;2791;2390;4085;2529;2463;2645;2944;3419;2539;2638;1898;2365;2628;2755;2132;2585;2357;2270;2636;2405;2388;2749;2352;2971;2737;NA;3436;2149;2444;2069;2362;2261;3713;2882;2472;1959;1858;2075;2548;2371;2580;2462;2208;2596;2068;3021;2683;2010;1874;2292;1826;1898;2597;2845;3314;3512;3257;3855;4648;2385;2327;2992;2277;3370;2525;1496;2458;2082;2270;2378;2340;2472;2603;2071;2127;2751;2401;2641;2617;2933;3386;2129;4280;2574;1928;2996;2289;2719;2017;2255;2717;2435;4026;NA;1889;2201;1302;2175;3479;2660;3103;3471;2233;1899;2437;1388;2870;7857;4474;3457;4558;4315;3912;3403;5440;4732;4188;2582;2464;2647;2627;2234;NA;NA;2720;2655;4012;2869;2774;2908;NA;1642;1802;1946;2938;2739;2201;2004;2597;3366;2465;2733;2433;2852;3047;3504;3170;3062;2964
"5";"2017";3610;4051;2991;3810;2404;4089;6363;2544;3014;4042;3072;2637;2640;2598;3302;3309;2370;1890;2966;3968;2586;7605;2472;2995;2617;3400;2358;2296;1835;2138;1856;2924;2053;3007;2479;2987;2273;2712;3527;2778;2236;2488;2358;1881;2075;1889;2044;2445;2468;2486;1816;2583;2941;2403;2952;2279;2669;3553;2446;2252;2544;2287;2121;2914;2140;2321;2261;2240;1859;2231;2004;3430;2389;1548;3255;2470;2688;2528;2770;2639;2853;2351;2327;2472;2414;3087;2948;2530;2503;2059;2445;2184;2809;2438;3089;3148;2412;1989;2933;2414;2203;2855;3811;2705;3107;2921;5289;1855;4221;2690;3599;3604;2091;2183;2298;2341;2158;1842;2071;1585;4064;3080;2470;2494;4047;4049;2993;5883;2617;2183;2454;1629;2124;1531;2364;2157;2295;3216;NA;2043;3117;2543;2564;1997;2113;2530;1591;1842;1982;2274;3208;3412;2419;3116;3468;2384;4111;5115;2333;1515;2618;2078;1564;2155;2062;2208;2233;2261;1928;3947;3140;2521;3805;4191;2597;2542;2412;1554;1942;2113;2556;3259;1839;2177;1407;2589;2847;2197;2655;2234;1759;2624;2194;4054;3484;3715;4983;3990;2786;2649;3497;2976;2369;2420;2870;3252;1851;6142;6023;9582;3019;2054;2807;2100;2229;1951;2994;2322;2545;3154;2656;2868;2170;2128;1847;2577;1969;1855;2143;2665;2066;2959;2491;4190;2253;2587;2664;2676;3712;2590;2688;1853;2581;2614;3187;2356;2994;2399;2499;2667;2221;2531;2869;2450;3033;2785;1894;3506;2074;2451;2200;2168;2558;3693;2903;2200;2423;2097;1907;2691;2343;2623;2111;2571;2575;1842;3020;3008;1980;2035;2519;2149;1933;2649;3074;3110;3697;3022;4002;4766;2540;2443;3034;2655;3510;2636;1994;2260;2383;1418;2454;1923;2545;2851;1772;2790;2549;2593;2897;2677;2931;3481;2272;4518;2868;1678;3305;2194;2822;2016;2398;2803;1947;4165;NA;1861;2039;1602;2496;3638;2647;3167;3666;2381;2805;2098;1476;3172;8161;4636;4062;4712;4695;4041;3677;5280;4869;4687;2441;2574;2695;2506;2497;2085;NA;2793;2714;3901;2784;2944;2974;1906;2086;1877;2677;2139;2943;2373;2332;2698;3384;2766;1875;2238;3222;2142;3656;3055;2999;3150
"6";"2018";3755;4309;3206;4591;3324;4699;6696;2471;3188;3674;3301;2759;2855;2929;3334;3134;2452;3503;3124;3903;2586;7802;2995;3295;2859;3773;2510;2525;1926;2294;1998;2601;2184;3331;2654;3188;2381;2906;4001;2730;2367;2633;2254;2289;2081;2010;2257;2639;2833;2595;1943;2911;3131;2555;2970;2438;2968;3998;2512;2297;2818;2415;2119;3177;2347;2298;2612;2317;1989;2408;2016;3523;2470;2106;2768;2513;2692;2722;2939;2994;2968;2651;2211;2758;2726;3284;3010;2324;2467;2132;2699;2415;2742;2352;2980;3532;2566;2277;3459;2403;2249;2986;4318;2879;2772;2945;5740;1878;5266;2688;3026;3864;1882;2172;2365;2255;2278;2009;2435;1741;4440;3134;2386;2571;4231;4346;3020;6551;2563;2518;2556;1643;2118;1720;2537;2164;2584;3285;1922;2201;3294;2764;2677;2169;2189;2537;1579;1890;2077;2571;3170;3687;2615;3246;3277;2527;4402;5558;2320;1557;2369;2303;1543;2147;2160;2550;2488;2415;2276;4420;3287;2677;4202;4566;2769;2614;2450;1802;2535;2001;2809;3294;2075;1971;1653;2728;2899;2253;2483;2430;2018;2791;2092;4615;3845;3831;5298;4520;2706;2759;3611;3159;2568;2753;2975;3537;1899;6887;6419;10640;2847;2082;3167;2129;2465;2394;2876;2302;2702;3367;2966;2849;2332;1966;2096;2505;2060;1910;2285;2855;2259;3007;2607;4519;2791;2786;2856;2829;3993;2783;3055;1671;2770;2993;2929;2515;3200;2807;2770;3313;2620;2742;3173;2624;2636;3640;NA;3728;2435;2543;2309;2380;2979;4011;2754;2523;1950;1625;2261;2971;2369;2638;2599;2647;2866;2113;3089;3177;2026;2186;2503;2458;2009;2959;3389;3186;3929;3268;3968;5090;2566;2467;3485;2780;3807;2671;2130;2467;2485;2090;2973;2185;2878;2645;2131;2485;2763;2550;2792;2925;2935;3803;3076;4624;3036;1985;3450;2684;3083;2273;2690;3174;2637;4585;2528;1990;2391;1863;2831;3258;3218;3528;3236;2364;2464;2332;1753;3554;8866;4811;4198;5010;5066;4010;3696;5726;5253;4713;2602;2898;2729;2638;2512;2032;NA;3206;2557;3989;2971;3257;2870;2287;2323;1939;2375;2284;3108;2369;1914;2478;3477;2865;2663;2388;2961;2121;3903;3471;3348;3095
"7";"2019";4319;4631;3671;4073;3344;5508;7555;3310;3462;4067;3615;3149;3423;3355;3908;3650;2808;3386;3398;4521;2815;8590;3183;3700;3013;4205;2534;2933;2136;2636;2738;3049;2417;3816;2818;3665;2693;3211;4572;2406;2681;3335;2722;2419;2321;2263;2624;3000;3571;2908;2247;3240;3621;2953;3150;2801;3100;4398;2782;2369;2410;2280;2506;3797;2439;2482;2870;2596;2044;2576;2205;4052;2729;3105;3336;2875;3183;2852;3256;3456;3234;2903;2507;2878;3244;3556;3310;2552;2641;2318;2992;2462;3028;2474;3394;3732;3060;2512;3931;2703;2750;3330;4826;3101;3483;3392;6169;2182;5636;3438;3151;4471;2218;2287;2698;2404;2529;2236;2785;1872;5051;3687;2669;2813;5219;4877;3376;7345;3257;2754;3606;1932;2587;1725;2939;2152;3033;3544;1799;2277;3569;3029;3132;2199;2358;2838;1782;1849;2285;2394;3401;3864;2501;3995;3728;2743;4680;6153;2541;1743;2314;2410;1620;2427;2333;2425;2332;2552;2353;4817;3548;2917;4747;5111;2870;2747;2862;1575;2898;2510;3077;3436;2046;2176;1849;3111;3354;2428;2773;2546;2248;2900;2587;5152;4353;4092;5618;4896;3085;3258;3733;3456;3225;3065;3407;3958;2037;7637;7018;11144;3078;2104;3555;2529;2550;2469;3305;2415;2951;3720;3804;3185;2324;2140;2200;2449;2281;2089;2334;3253;2346;3352;2919;5102;3315;3242;3303;3154;4579;3098;3284;1911;3198;3550;3476;2766;3461;3351;3088;3519;3249;3096;3606;2896;3046;3807;2152;4274;4322;2567;2560;2922;3265;4391;3351;2522;2190;2256;2089;3207;2610;2944;3107;3344;3109;2260;3342;3044;2197;2398;2938;2500;2442;3312;3982;3763;4163;3390;4501;5592;3221;2822;3823;2954;3884;2855;2205;2554;2304;2279;2871;3015;3046;2852;2271;2849;2878;2748;2400;3192;3170;4213;2949;5193;3567;2136;3862;2966;3456;2626;2900;3362;2767;5219;3104;2187;2888;2352;2707;3618;3764;4124;4045;2647;2253;3054;2132;3960;9518;5195;4665;5366;5464;4456;4363;5622;5664;4824;2991;3054;3263;3177;2810;2413;NA;3181;3223;3851;3442;3105;3233;2622;2621;2186;2305;2731;3704;2407;2665;2926;3779;3740;3327;2294;3134;3185;4389;3548;3701;3514
"8";"2020";4582;5278;3478;5320;3952;5534;8434;3395;3610;4219;4275;3658;3700;3805;4430;3633;3125;3456;4057;5314;3877;10677;3830;4066;3267;4727;3017;3294;2523;3019;2866;3569;2660;4411;3227;4014;3141;3502;5333;3460;3102;3800;3222;2913;2911;2650;2984;3464;3625;3292;2847;3706;4014;3204;3464;3285;3750;4847;3604;2658;3803;2481;2887;4252;2845;2671;2998;3043;2474;2803;2427;4448;2930;3068;3347;2911;3157;3235;3249;3915;3407;3047;2528;3126;3312;4029;3860;2722;3057;3169;3064;2739;3453;3243;3154;3762;2813;2777;4235;2915;3131;3563;5198;3345;3472;3211;6819;2260;5927;3868;4117;NA;2556;2433;2833;2613;2866;2254;3135;2223;5342;4049;3112;3058;6589;5269;3890;8200;3671;3030;3930;2292;2850;2017;3253;2425;3574;3906;1780;2812;4093;3164;3637;2393;2559;3222;1963;1977;2524;2655;3939;4348;2747;4239;4163;3025;5109;7359;2931;2308;2736;2672;1901;2531;2543;2776;2578;2633;2754;5272;4037;3357;5308;5986;3172;3156;2876;1742;2915;3079;3261;3819;2273;2022;2180;3826;3702;3123;3084;2828;2509;3483;2532;5746;4579;5241;6920;5173;3478;3517;4285;3853;3328;3540;3823;4533;2246;8830;7881;11917;3514;2708;3888;2418;2667;2639;3888;2267;3217;4450;4102;4123;2811;2710;2498;2510;2287;2292;2556;3952;2545;4026;3315;5486;3782;4028;3820;3153;5197;3501;3580;1994;3427;4014;4104;3181;3309;3962;3512;3612;3211;3539;4227;3293;4229;4103;2123;4906;2854;2835;3001;3267;3860;4896;3717;2829;3026;2325;2756;3826;2902;3066;3130;3320;3277;2688;3639;3263;2641;2407;3518;2682;2414;3498;4786;4005;4425;3713;4958;6342;3560;3337;4422;2810;4627;3204;2918;3241;2642;2079;3514;2969;3640;3351;2345;2547;2884;3006;3861;4104;3763;4410;3419;5637;3960;2300;4410;3002;4203;2907;3471;4100;2664;5897;3523;2419;2706;2776;2500;3803;3856;4994;4626;3173;2216;2620;1954;4574;10750;5674;4929;5771;6043;4660;4684;5853;5868;5647;3904;3359;3693;3207;3062;2318;NA;3602;3095;4639;4037;3972;3390;2528;2927;2627;2564;2198;4253;3023;2312;2970;4163;3942;3683;2914;3400;3413;5149;4494;4167;4211
"9";"2021";5021;6105;4643;4518;4608;6411;9339;3511;3986;4317;4818;4245;4472;4376;4634;3953;3718;2884;4394;7051;2898;11341;4500;4405;3594;5276;2920;3976;2981;3476;3511;3887;2972;4800;3617;4668;3675;4162;5863;3934;3613;4396;3524;3268;3099;3070;3309;3726;4204;3851;3538;4180;4539;4130;4145;3886;4179;5510;3925;3182;3915;2810;3254;4745;3057;3219;3684;3254;2688;2990;2771;4924;3242;3604;4093;3156;3600;3371;3917;4178;3524;3491;3228;3521;3940;4296;3918;3279;3245;3208;3318;2868;3940;3288;3740;4042;3381;3200;4563;3493;3266;3833;5963;3675;4205;3976;7371;2682;7066;5330;4921;NA;2927;2525;3471;3007;3209;2287;3260;2231;6362;4359;3425;3291;7479;5803;4192;8751;3693;3101;4558;2354;3271;2060;3550;2924;4093;4322;2020;3395;4420;3259;4111;2842;2979;3732;2380;2279;3001;3172;4407;5078;3316;4861;4749;3468;5479;8407;3301;2132;3063;3100;2174;2998;2746;2992;3360;3166;3192;5744;4397;3920;5700;6580;3909;3357;3370;2890;3049;3028;3684;4867;2574;1962;2151;4651;4173;2690;3319;3038;2688;3790;3097;6303;5242;5579;6690;5974;3922;3781;4597;4368;3782;4017;4074;5106;2513;9808;9021;13929;4043;2867;4161;3135;3126;3323;4260;3348;3668;4994;4652;4621;3746;3016;2986;3258;2803;2843;3149;4718;2992;4541;3325;6206;4096;4468;4423;3823;5750;3734;3990;2301;4358;4311;4449;3770;3828;4853;4089;4417;3940;4066;4443;3959;4343;4821;3183;5532;4250;3236;3431;3744;4009;5684;4840;3121;2545;2603;3042;4012;3197;3028;3026;3613;3831;2758;4265;3847;2371;2765;4050;3380;2878;4153;5184;4748;4987;3855;5608;7178;3931;3977;4570;4002;5373;3644;3888;2945;3416;3536;3880;3138;4065;3753;2260;2809;2848;3487;4716;4070;3894;5315;3148;6269;4243;3065;4850;3629;4500;3416;3787;4641;3399;6593;3522;2983;3276;2895;3282;4535;4574;5238;5765;3699;4147;2855;2532;5371;11775;6283;5743;6603;6621;5352;5255;7030;6956;6771;3974;4062;4022;3749;3252;2552;NA;3841;3473;4671;4721;4261;3729;2946;3337;3428;3253;3055;5031;3261;3076;3238;4805;4653;3236;2105;4232;3968;5860;4988;4680;4696
