"";"year";"frakcja_wt"
"1";2002;15,685553969443
"2";2003;15,6158850606143
"3";2004;15,3654132889302
"4";2005;15,5512194586465
"5";2006;15,6058614166159
"6";2007;15,7208673973182
"7";2008;15,8113771082681
"8";2009;16,0736992593196
"9";2010;15,9668521654972
"10";2011;15,8713853188334
"11";2012;16,0033345673994
"12";2013;16,4185444942312
"13";2014;16,3005117816398
"14";2015;16,4282929153985
"15";2016;16,1943404568131
"16";2017;16,3937688752233
"17";2018;16,5359706114205
"18";2019;16,826864095329
"19";2020;16,540813770549
"20";2021;16,7834551493012
"21";2022;16,5869197593173
"22";2023;16,7336511886541
