"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"BARTOSZEWICZ Artur";"BIEJAT Magdalena Agnieszka";"BRAUN Grzegorz Michał";"HOŁOWNIA Szymon Franciszek";"JAKUBIAK Marek";"MACIAK Maciej";"MENTZEN Sławomir Jerzy";"NAWROCKI Karol Tadeusz";"SENYSZYN Joanna";"STANOWSKI Krzysztof Jakub";"TRZASKOWSKI Rafał Kazimierz";"WOCH Marek Marian";"ZANDBERG Adrian Tadeusz"
20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";24;24;27600;27821;9764;17835;7;17842;28;204;7;0;0;0;0;7;17842;7;2;17840;85;23;62;0;17755;71;617;929;810;98;41;2320;4326;173;217;7455;18;680
20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";21;21;11115;11421;3582;7533;2;7535;5;93;2;0;0;0;1;1;7534;1;0;7534;39;4;35;0;7495;28;264;500;284;47;15;1467;2137;74;75;2327;5;272
20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";6;6;3903;4008;1642;2261;0;2261;4;44;0;0;0;0;0;0;2261;0;2;2259;12;5;7;0;2247;5;62;174;69;10;5;420;845;14;16;559;3;65
20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";14;14;10981;11194;4514;6467;2;6469;9;42;2;0;0;0;0;2;6469;2;0;6469;38;13;25;0;6431;28;173;556;281;38;15;1293;2258;56;74;1444;5;210
20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";7;7;4987;5154;2026;2961;0;2961;3;31;0;0;0;0;0;0;2961;0;0;2961;16;2;14;0;2945;14;117;296;120;14;8;533;769;25;28;865;8;148
20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";10;10;6217;6352;2411;3806;6;3812;2;13;6;0;0;0;0;6;3812;6;0;3812;28;1;27;0;3784;20;138;335;128;24;6;667;1250;32;42;993;3;146
20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";22;22;21023;21435;8467;12556;5;12561;31;135;5;2;0;0;0;3;12557;3;3;12554;77;19;58;0;12477;55;521;771;515;64;11;1634;3437;126;152;4669;11;511
20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";23;23;22673;23167;8152;14521;8;14529;26;76;8;0;0;0;0;8;14528;8;1;14527;66;20;46;0;14461;67;556;849;581;81;33;1665;3984;130;164;5876;5;470
20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";11;11;6765;6832;2873;3893;1;3894;7;30;1;0;0;0;0;1;3894;1;2;3892;34;12;22;0;3858;34;105;280;152;18;7;585;1172;31;41;1279;6;148
20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";3;3;4424;4511;1920;2504;4;2508;2;20;4;0;0;0;0;4;2508;4;0;2508;14;1;13;0;2494;18;95;187;110;11;6;414;782;26;24;731;1;89
20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";15;15;6829;7049;2253;4575;0;4575;4;19;0;0;0;0;0;0;4576;0;0;4576;25;8;17;0;4551;31;138;279;177;39;6;792;1493;37;51;1349;4;155
20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";10;10;5467;5568;2090;3377;0;3377;4;29;0;0;0;0;0;0;3377;0;0;3377;19;6;13;0;3358;6;87;225;122;27;3;618;1345;21;28;766;2;108
20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";7;7;3911;3973;1676;2235;0;2235;13;22;0;0;0;0;0;0;2235;0;0;2235;16;7;9;0;2219;11;78;179;72;15;4;356;747;16;23;662;0;56
20301;"m. Głogów";"głogowski";"dolnośląskie";36;36;46124;46463;16367;29756;12;29768;24;350;11;2;1;0;1;7;29761;7;2;29759;120;33;87;0;29639;124;1164;1563;1392;176;51;3858;8697;250;326;10769;21;1248
20302;"gm. Głogów";"głogowski";"dolnośląskie";4;4;5249;5392;1546;3702;0;3702;1;47;0;0;0;0;0;0;3703;0;0;3703;15;1;14;0;3688;21;115;218;155;32;9;608;1216;29;30;1107;3;145
20303;"gm. Jerzmanowa";"głogowski";"dolnośląskie";7;7;4231;4359;1059;3172;0;3172;3;27;0;0;0;0;0;0;3172;0;3;3169;17;12;5;0;3152;22;135;177;214;38;7;532;878;35;41;898;5;170
20304;"gm. Kotla";"głogowski";"dolnośląskie";5;5;3261;3381;1215;2046;0;2046;2;13;0;0;0;0;0;0;2045;0;0;2045;9;0;9;0;2036;7;73;116;58;12;3;386;775;12;23;502;2;67
20305;"gm. Pęcław";"głogowski";"dolnośląskie";3;3;1603;1650;627;976;0;976;0;7;0;0;0;0;0;0;976;0;0;976;3;1;2;0;973;2;34;46;31;4;3;192;433;10;12;166;1;39
20306;"gm. Żukowice";"głogowski";"dolnośląskie";2;2;2487;2547;918;1569;0;1569;5;7;0;0;0;0;0;0;1569;0;0;1569;7;2;5;0;1562;5;41;120;74;14;4;291;547;16;23;351;1;75
20401;"gm. Góra";"górowski";"dolnośląskie";13;13;13956;14168;5932;8027;5;8032;6;87;5;0;0;0;0;5;8034;5;1;8033;42;11;31;0;7991;38;349;547;349;63;18;1298;2305;71;80;2531;7;335
20402;"gm. Jemielno";"górowski";"dolnośląskie";4;4;2113;2166;916;1197;1;1198;4;13;1;0;0;0;0;1;1198;1;0;1198;13;5;8;0;1185;6;44;121;23;13;5;219;488;8;13;221;1;23
20403;"gm. Niechlów";"górowski";"dolnośląskie";9;9;3433;3493;1453;1980;0;1980;1;18;0;0;0;0;0;0;1980;0;0;1980;19;8;11;0;1961;10;76;190;61;18;6;381;783;14;19;340;1;62
20404;"gm. Wąsosz";"górowski";"dolnośląskie";9;9;5187;5307;2184;3004;2;3006;8;16;2;0;0;0;0;2;3006;2;0;3006;12;5;7;0;2994;4;120;201;121;19;5;537;996;38;21;808;3;121
