"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"NAWROCKI Karol Tadeusz";"TRZASKOWSKI Rafał Kazimierz"
20101;"m. Bolesławiec";"bolesławiecki";"dolnośląskie";24;24;27644;27615;8805;18838;9;18847;44;431;9;0;0;0;0;9;18847;8;0;18847;146;77;69;0;18701;;
20102;"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";21;21;11195;11354;3372;7823;2;7825;6;136;1;0;0;0;0;1;7824;1;1;7823;63;34;29;0;7760;;
20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";6;6;3927;3977;1471;2456;0;2456;5;31;0;0;0;0;0;0;2456;0;0;2456;16;13;3;0;2440;;
20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";14;14;11016;11121;4298;6718;3;6721;11;72;3;0;0;0;0;3;6720;3;0;6720;51;27;24;0;6669;;
20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";7;7;5004;5154;1865;3139;0;3139;3;62;0;0;0;0;0;0;3139;0;0;3139;37;16;21;0;3102;;
20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";10;10;6256;6306;2238;4018;8;4026;2;39;8;1;0;0;0;7;4025;7;0;4025;34;11;23;0;3991;;
20201;"m. Bielawa";"dzierżoniowski";"dolnośląskie";22;22;21086;21200;7645;13440;6;13446;40;211;6;3;0;0;0;3;13443;3;1;13442;110;49;61;0;13332;;
20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";23;23;22787;22989;7341;15446;8;15454;30;206;8;0;0;0;0;8;15454;8;0;15454;120;74;46;0;15334;;
20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";11;11;6810;6790;2618;4192;1;4193;15;87;1;0;0;0;0;1;4193;1;0;4193;56;23;33;0;4137;;
20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";3;3;4447;4467;1795;2652;4;2656;3;27;3;0;0;0;0;3;2655;3;0;2655;16;5;11;0;2639;;
20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";15;15;6886;6982;2105;4781;0;4781;8;33;0;0;0;0;0;0;4781;0;0;4781;65;38;27;0;4716;;
20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";10;10;5493;5558;1756;3737;0;3737;5;66;0;0;0;0;0;0;3737;0;3;3734;37;18;19;0;3697;;
20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";7;7;3919;3942;1555;2364;0;2364;11;39;0;0;0;0;0;0;2364;0;0;2364;22;12;10;0;2342;;
20301;"m. Głogów";"głogowski";"dolnośląskie";36;36;46229;45940;14531;31698;11;31709;34;724;11;0;0;0;0;11;31708;11;0;31708;259;138;121;0;31449;;
20302;"gm. Głogów";"głogowski";"dolnośląskie";4;4;5265;5329;1356;3909;2;3911;2;57;2;0;0;0;0;2;3911;2;1;3910;32;16;16;0;3878;;
20303;"gm. Jerzmanowa";"głogowski";"dolnośląskie";7;7;4243;4325;976;3267;0;3267;4;65;0;0;0;0;0;0;3267;0;0;3267;35;20;15;0;3232;;
20304;"gm. Kotla";"głogowski";"dolnośląskie";5;5;3286;3316;1102;2184;0;2184;3;18;0;0;0;0;0;0;2184;0;0;2184;22;12;10;0;2162;;
20305;"gm. Pęcław";"głogowski";"dolnośląskie";3;3;1604;1655;533;1071;0;1071;0;13;0;0;0;0;0;0;1071;0;0;1071;4;2;2;0;1067;;
20306;"gm. Żukowice";"głogowski";"dolnośląskie";2;2;2494;2523;841;1653;0;1653;4;24;0;0;0;0;0;0;1653;0;0;1653;15;5;10;0;1638;;
20401;"gm. Góra";"górowski";"dolnośląskie";13;13;14019;13889;5487;8532;6;8538;7;135;6;0;0;0;0;6;8538;6;1;8537;59;38;21;0;8478;;
20402;"gm. Jemielno";"górowski";"dolnośląskie";4;4;2133;2148;803;1330;1;1331;4;24;1;0;0;0;0;1;1331;1;0;1331;9;6;3;0;1322;;
20403;"gm. Niechlów";"górowski";"dolnośląskie";9;9;3460;3476;1366;2094;0;2094;2;47;0;0;0;0;0;0;2094;0;0;2094;26;14;12;0;2068;;
20404;"gm. Wąsosz";"górowski";"dolnośląskie";9;9;5234;5268;1982;3252;2;3254;15;31;2;0;0;0;0;2;3253;2;0;3253;27;14;13;0;3226;;
